ID,Levels,ParentID,CompanyID,Code,Name,Remark,IsMachineType,IsSpecs,speed,combCount,MachineWidth,factWidth,ALLPinCount,factPinCount,Power,HasSysDefine,HasDefault,HasUse,HasStop,Stoper,StopDate,StopMemo,HasCheck,Checker,CheckTime,Writer,WriteTime,Modifier,ModifyTime,RuleChildID,MachineKG,DayUrnCount,Coefficient,JBMachineType,ProgramID,DyeRate
1009031,0,1009,4,ML-28,ML-28,46梳不带贾卡花边机,0,1,500.0000,46,134.0000,134.0000,3752,3752,NULL,0,0,0,1,140100,NULL,不再使用,0,NULL,NULL,140100,2017-03-10 11:59:38.000,140100,2017-04-13 14:53:56.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009032,0,1009,4,ML-28E,ML-28E,46梳不带贾卡花边机,0,1,500.0000,46,134.0000,134.0000,3752,3752,NULL,0,0,0,1,140100,NULL,不再使用,0,,NULL,140100,2017-03-27 16:31:52.000,140100,2017-04-13 14:54:03.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009033,0,1009,4,ML-28,ML-28E,41梳不带贾卡花边机,0,1,500.0000,41,134.0000,134.0000,3752,3752,NULL,0,0,0,0,NULL,NULL,NULL,0,,NULL,140100,2017-11-03 11:33:31.000,140100,2017-11-03 11:38:26.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009034,0,1009,4,ML41-28E,ML41-28E,NULL,0,1,810.0000,41,134.0000,134.0000,3752,3752,NULL,0,0,0,1,277493,NULL,发现ML41-28E上面有一个重复了，成本核算出问题,1,140100,2018-06-15 17:52:40.000,277493,2017-11-03 15:04:34.000,280238,2018-01-29 17:17:16.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009035,0,1009,4,ML46-28E,ML46-28E,NULL,0,1,810.0000,46,134.0000,134.0000,3752,3752,NULL,0,0,0,0,NULL,NULL,NULL,1,280238,2018-01-29 17:14:19.000,277493,2017-11-03 15:05:44.000,280238,2018-01-29 17:14:19.000,NULL,NULL,NULL,NULL,332542,430250,NULL
1009036,0,1009,4,MRES33-18E,MRES33-18E,NULL,0,1,375.0000,33,132.0000,132.0000,2376,2376,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2018-08-15 16:35:20.000,277493,2018-08-15 16:33:48.000,NULL,NULL,NULL,NULL,NULL,NULL,332542,340739,NULL
1009037,0,1009,4,OJ91/1B,OJ91/1B,"91梳电脑贾卡花边机 ",0,1,860.0000,93,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2018-11-28 08:33:25.000,277493,2018-11-12 17:41:20.000,277493,2018-11-28 08:33:25.000,NULL,NULL,NULL,NULL,332543,1213946,NULL
1009038,0,1009,4,MRES33-24E,MRES33-24E,链块机,0,1,375.0000,33,132.0000,132.0000,3168,3168,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2019-04-02 14:48:59.000,277493,2019-04-02 14:46:48.000,277493,2019-04-02 14:48:59.000,NULL,NULL,NULL,NULL,332542,340739,NULL
1009039,0,1009,4,MRES41-24E,MRES41-24E,NULL,0,1,375.0000,41,132.0000,132.0000,3168,3168,NULL,0,0,0,1,277493,NULL,不再使用,0,,NULL,277493,2019-04-02 14:49:57.000,277493,2019-04-02 15:13:23.000,NULL,NULL,NULL,NULL,332542,340739,NULL
1009040,0,1009,4,OJ91/1F,OJ91/1F,NULL,0,1,860.0000,93,134.0000,134.0000,3216,3216,NULL,0,0,0,0,NULL,NULL,NULL,1,277493,2019-07-02 09:49:16.000,277493,2019-07-02 09:47:36.000,NULL,NULL,NULL,NULL,NULL,NULL,332543,1213946,NULL
